date,location,category,crop,status,image_URL,target_URL
7/6/22,Davis,Rover Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/6/22,Davis,Flowering Scoring,,,,https://ucdavis.app.box.com/folder/179269155158
7/8/22,Davis,Drone Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/8/22,Davis,Rover Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/8/22,Davis,Flowering Scoring,,,,https://ucdavis.app.box.com/folder/179269155158
7/11/22,Davis,Drone Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/11/22,Davis,Rover Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/10/22,Davis,Flowering Scoring,,,,https://ucdavis.app.box.com/folder/179269155158
7/11/22,Kearney,Flowering Scoring,,,,https://ucdavis.app.box.com/folder/179269155158
7/13/22, Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/13/22, Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/15/22,Davis,Drone Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/18/22,Davis,Rover Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/18/22,Davis,Drone Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/18/22,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/18/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
7/18/22,Davis,Stand Count,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/18/22, Kearney,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/18/22, Kearney,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/18/22, Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/18/22, Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
7/18/22, Kearney,Stand Count CB,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/19/22,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/19/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
7/20/22,Kearney,Drone Imaging,Cp,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/20/22,Kearney,Rover Imaging,Cp,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/20/22,Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/20/22,Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/20/22,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/22/22,Davis,Drone Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/22/22,Davis,Rover Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/22/22,Davis,Drone Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/22/22,Davis,Rover Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/22/22,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/22/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
7/25/22,Davis,Drone Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/25/22,Davis,Rover Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/25/22,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/25/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
7/26/22,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/26/22,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/26/22,Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/26/22,Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/26/22,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/27/22,Davis,LIDAR Scanning,,,,https://ucdavis.app.box.com/folder/179269155158
7/27/22,Davis,Physio Measurement,,,,https://ucdavis.app.box.com/folder/179269155158
7/28/22,Davis,LIDAR Scanning,,,,https://ucdavis.app.box.com/folder/179269155158
7/28/22,Davis,Physio Measurement,,,,https://ucdavis.app.box.com/folder/179269155158
7/29/22,Davis,Rover Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/29/22,Davis,Flowering Scoring,Sorghum,,,https://ucdavis.app.box.com/folder/179269155158
7/29/22,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/29/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
7/29/22,Davis,Rover Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/29/22,Kearney,Flowering Scoring,Sorghum,,,https://ucdavis.app.box.com/folder/179269155158
7/29/22,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
7/29/22,Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/1/22,Davis,Rover Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
8/1/22,Davis,Drone Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
8/2/22,Davis,Rover Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
8/2/22,Davis,Drone Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
8/2/22,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
8/2/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/2/22,Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
8/2/22,Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/2/22,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
8/2/22,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/3/22,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
8/3/22,Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/5/22,Davis,Drone Imaging,Legumes,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/5/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/7/22,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/7/22,Kearney,Flowering Time,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/8/22,Davis,Drone Imaging,Legumes,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/8/22,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
8/8/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/9/22,Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/9/22,Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/9/22,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/9/22,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/9/22,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
8/9/22,Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/9/22,Kearney,Stand Count,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/10/22,Davis,Physio Measurement,,,,https://ucdavis.app.box.com/folder/179269155158
8/11/22,Davis,Physio Measurement,,,,https://ucdavis.app.box.com/folder/179269155158
8/11/22,Davis,Flowering Scoring,Sorghum,,,https://ucdavis.app.box.com/folder/179269155158
8/12/22,Davis,Drone Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/12/22,Davis,Flowering Scoring,Sorghum,,,https://ucdavis.app.box.com/folder/179269155158
8/13/22,Davis,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/13/22,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/16/22,Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/16/22,Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/16/22,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/16/22,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/16/22,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
8/16/22,Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/16/22,Kearney,Stand Count,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/17/22,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
8/17/22,Kearney,Flowering Time,Sorghum,,,https://ucdavis.app.box.com/folder/179269155158
8/20/22,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
8/20/22,Davis,Plant Height,,,,https://ucdavis.app.box.com/folder/179269155158
8/21/22,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/179269155158
8/21/22,Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/21/22,Kearney,Stand Count,CP,,,https://ucdavis.app.box.com/folder/179269155158
8/22/22,Davis,LIDAR Scanning,,,,https://ucdavis.app.box.com/folder/179269155158
8/22/22,Davis,Physio Measurement,,,,https://ucdavis.app.box.com/folder/179269155158
8/23/22,Davis,LIDAR Scanning,,,,https://ucdavis.app.box.com/folder/179269155158
8/23/22,Davis,Physio Measurement,,,,https://ucdavis.app.box.com/folder/179269155158
8/29/22,Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/179269155158
6/15/23,Kearney,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/15/23,Kearney,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/20/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/20/23,Davis,Rover Imaging,,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/20/23,Davis,Stand Count,CB,,,https://ucdavis.app.box.com/folder/222328832434
6/22/23,Kearney,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/22/23,Kearney,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/23/23,Davis,Stand Count,CP,,,https://ucdavis.app.box.com/folder/222328832434
6/26/23,Kearney,Stand Count,CB,,,https://ucdavis.app.box.com/folder/222328832434
6/27/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/27/23,Davis,Rover Imaging,,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/28/23,Davis,Plant Height,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/28/23,Davis,Stand Count,Sorghum,,,https://ucdavis.app.box.com/folder/222328832434
6/29/23,Kearney,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/29/23,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/29/23,Kearney,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
6/29/23,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/3/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/3/23,Davis,Rover Imaging,,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/5/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/5/23,Davis,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/5/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/6/23,Kearney,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/6/23,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/6/23,Kearney,Rover Imaging,,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/6/23,Kearney,Rover Imaging,CP,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/7/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/7/23,Davis,Rover Imaging,,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/7/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/8/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/10/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/11/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/12/23,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/13/23,Kearney,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/13/23,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/13/23,Kearney,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/13/23,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/14/23,Davis,Drone Imaging,,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/14/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/14/23,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/222328832434
7/14/23,Davis,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/17/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/17/23,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/222328832434
7/18/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/18/23,Davis,Rover Imaging,,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/18/23,Davis,Plant Height,CP,,,https://ucdavis.app.box.com/folder/222328832434
7/18/23,Davis,Plant Height,Sorghum,,,https://ucdavis.app.box.com/folder/222328832434
7/19/23,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/20/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/20/23,Davis,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/20/23,Davis,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/20/23,Davis,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/20/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/20/23,Davis,Flowering Scoring ,CP,,,https://ucdavis.app.box.com/folder/222328832434
7/20/23,Kearney,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/20/23,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/20/23,Kearney,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/20/23,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/20/23,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/20/23,Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/222328832434
7/24/23,Davis,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/24/23,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/222328832434
7/25/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/25/23,Davis,Rover Imaging,,In Process,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/26/23,Kearney,Flowering Scoring,CB,,,https://ucdavis.app.box.com/folder/222328832434
7/26/23,Kearney,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/222328832434
7/27/23,Davis,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/27/23,Davis,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/27/23,Davis,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/27/23,Davis,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/27/23,Davis,Flowering Scoring,CP,,,https://ucdavis.app.box.com/folder/222328832434
7/27/23,Davis,Flowering Time,Sorghum,,,https://ucdavis.app.box.com/folder/222328832434
7/27/23,Kearney,Drone Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/27/23,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
7/27/23,Kearney,Rover Imaging,,Not Processed,https://drive.google.com/file/d/1VuKFzP9pQRJgPNrZ9UME5KTtu8J8ZZO7/view?usp=drive_link,
